dimension;weight
1.0 in x 1.0 in x 1.0 in;1.0 lbs
4.25 in x 4.25 in x 5.25 in;2.45 lbs
3.3 in x 3.3 in x 11.79 in;3.09 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.06 in x 3.06 in x 12.34 in;2.65 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;0.062 lbs
6.5 in x 2.5 in x 9.5 in;1.0 lbs
6.5 in x 2.5 in x 9.5 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.06 in x 3.06 in x 12.34 in;2.65 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.0 in x 3.0 in x 12.0 in;0.06 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.5 in x 3.3 in x 12.2 in;2.0 lbs
10.75 in x 8.0 in x 9.0 in;15.0 lbs
9.1 in x 4.38 in x 6.83 in;3.0 lbs
3.06 in x 3.06 in x 12.34 in;2.65 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.21 in x 3.21 in x 11.56 in;3.125 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.3 in x 3.3 in x 12.0 in;2.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.64 in x 3.64 in x 10.5 in;2.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
5.05 in x 4.96 in x 5.53 in;0.06 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.06 in x 3.06 in x 12.34 in;2.65 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.06 in x 3.06 in x 12.34 in;2.65 lbs
2.9 in x 3.2 in x 9.8 in;2.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
1.0 in x 1.0 in x 1.0 in;1.0 lbs
3.256 in x 3.256 in x 12.0 in;3.1 lbs
