product_fk;categorie_fk
0;138
0;149
0;37
0;52
0;37
1;138
1;149
1;37
1;52
1;37
2;138
2;149
2;37
2;52
2;37
3;138
3;149
3;37
3;52
3;37
4;138
4;149
4;37
4;52
4;120
5;138
5;149
5;37
5;52
5;37
6;138
6;149
6;37
6;52
6;37
7;138
7;149
7;37
7;52
7;37
8;138
8;149
8;37
8;52
8;37
9;138
9;149
9;37
9;52
9;37
10;138
10;149
10;37
10;52
10;120
11;138
11;149
11;37
11;52
11;120
12;138
12;149
12;37
12;52
12;37
13;138
13;149
13;37
13;52
13;37
14;138
14;149
14;37
14;52
14;120
15;138
15;149
15;37
15;52
15;37
16;138
16;149
16;37
16;52
16;37
17;138
17;149
17;37
17;52
17;37
18;138
18;149
18;37
18;52
18;120
19;138
19;149
19;37
19;52
19;37
20;138
20;149
20;37
20;52
20;37
21;138
21;149
21;37
21;52
21;37
22;138
22;149
22;37
22;52
22;37
23;138
23;149
23;37
23;52
23;120
24;138
24;149
24;37
24;52
24;120
25;138
25;149
25;37
25;52
25;37
26;138
26;149
26;37
26;52
26;37
27;138
27;149
27;37
27;52
27;37
28;138
28;149
28;37
28;52
28;37
29;138
29;149
29;37
29;52
29;37
30;138
30;149
30;37
30;52
30;37
31;138
31;149
31;37
31;52
31;37
32;138
32;149
32;37
32;52
32;37
33;138
33;149
33;37
33;52
33;37
34;138
34;149
34;37
34;52
34;37
35;138
35;149
35;37
35;52
35;37
36;138
36;149
36;37
36;52
36;37
37;138
37;149
37;37
37;52
37;37
38;138
38;149
38;37
38;52
38;37
39;138
39;149
39;37
39;52
39;37
40;138
40;149
40;37
40;52
40;37
41;138
41;149
41;37
41;52
41;37
42;138
42;149
42;37
42;52
42;195
43;138
43;149
43;37
43;52
43;37
44;138
44;149
44;37
44;52
44;37
45;138
45;149
45;37
45;52
45;37
46;138
46;149
46;37
46;52
46;37
47;138
47;149
47;37
47;52
47;37
48;138
48;149
48;37
48;52
48;37
49;138
49;149
49;37
49;52
49;37
49;79
50;138
50;149
50;37
50;52
50;37
50;79
51;138
51;149
51;37
51;52
51;146
52;138
52;149
52;37
52;52
52;195
52;55
53;138
53;149
53;37
53;52
53;195
53;55
54;138
54;149
54;37
54;52
54;37
54;57
55;138
55;149
55;37
55;52
55;195
55;55
56;138
56;149
56;37
56;52
56;195
56;55
57;138
57;149
57;37
57;52
57;120
57;57
57;100
58;138
58;149
58;37
58;52
58;37
58;18
59;138
59;149
59;37
59;52
59;37
59;79
60;138
60;149
60;37
60;52
60;37
60;57
60;120
60;130
60;100
61;138
61;149
61;37
61;52
61;37
61;57
61;120
61;130
62;138
62;149
62;37
62;52
62;37
62;57
62;120
62;130
63;138
63;149
63;37
63;52
63;195
63;57
63;120
63;130
63;100
64;138
64;149
64;37
64;52
64;37
64;57
64;120
64;130
65;138
65;149
65;37
65;52
65;195
65;57
65;120
65;130
65;92
65;180
65;136
66;138
66;149
66;37
66;52
66;195
66;57
66;120
66;130
67;138
67;149
67;37
67;52
67;37
67;57
67;120
67;130
68;138
68;149
68;37
68;52
68;37
68;57
68;120
68;130
69;138
69;149
69;37
69;52
69;37
69;57
69;120
69;130
69;100
70;138
70;149
70;37
70;52
70;37
70;57
70;120
70;130
70;100
71;138
71;149
71;37
71;52
71;195
71;57
71;120
71;130
72;138
72;149
72;37
72;52
72;195
72;57
72;120
72;130
73;138
73;149
73;37
73;52
73;195
73;55
73;57
73;120
73;130
74;138
74;149
74;37
74;52
74;37
74;57
74;120
74;130
74;100
75;138
75;149
75;37
75;52
75;195
75;55
75;57
75;120
75;130
75;120
75;100
76;138
76;149
76;37
76;52
76;37
76;57
76;120
76;130
77;138
77;149
77;37
77;52
77;195
77;57
77;120
77;130
78;138
78;149
78;37
78;52
78;195
78;57
78;120
78;130
79;138
79;149
79;37
79;52
79;120
79;57
79;120
79;130
80;138
80;149
80;37
80;52
80;120
80;57
80;120
80;130
80;100
81;138
81;149
81;37
81;52
81;195
81;57
81;120
81;130
82;138
82;149
82;37
82;52
82;37
82;57
82;120
82;130
83;138
83;149
83;37
83;52
83;37
83;57
83;120
83;130
84;138
84;149
84;37
84;52
84;120
84;57
84;120
84;130
85;138
85;149
85;37
85;52
85;195
85;57
85;120
85;130
86;138
86;149
86;37
86;52
86;120
86;57
86;120
86;130
86;100
86;87
86;81
87;138
87;149
87;37
87;52
87;37
87;57
87;120
87;130
88;138
88;149
88;37
88;52
88;120
88;57
88;120
88;130
88;100
89;138
89;149
89;37
89;52
89;120
89;57
89;120
89;130
90;138
90;149
90;37
90;52
90;120
90;57
90;120
90;130
91;138
91;149
91;37
91;52
91;195
91;55
