id;title;text;rating;fk_User_Id;fk_Product_Id
0;My Favorite White Wine;This a fantastic white wine for any occasion!;5.0;0;0
1;Yum!!;Tart, not sweet...very refreshing and delicious!;5.0;1;1
2;A New Favorite!;I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!;5.0;2;2
3;Bold, Flavorful, Aromatic, Delicious;This is a phenomenal wine and my new favorite red.;5.0;3;2
4;Yum! Plus, Environmentally Friendly!;4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldnt like the wine but its fantastic! I have to go a bit out of my way to get it (I live near a state line and it isnt sold in my state due to liquor laws) but its worth it.;5.0;4;3
5;Great Taste;I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. Its the only NA that I drink. My friends love it too. It has a great head when you pour.;5.0;5;4
6;Simply Wonderful;This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end;3.0;6;5
7;A Sweet Red.;I would give one more star if it came clean on the bottle and called itself a sweet red. Instead it gets poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Targets shelves and pick-up a Lambrusco for about 3-4 less.;2.0;7;5
8;;Delicious and very affordable;5.0;8;6
9;Charles & Charles Red Blend;This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one.;5.0;9;7
10;This Wine Made My Party!;Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics.;5.0;10;8
11;Nice Sparkling Wine Compared To Champagne;Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!;5.0;11;9
12;Great Nh Beer!;A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!;5.0;12;10
13;Dry-Hopped Ipa!;This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!;5.0;12;11
14;Dry-hopped Ipa!;This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!;5.0;12;11
15;Lovely! Try It!;Great for a perfect summer day or a get together with the girls.;5.0;15;12
16;Fizzy Pinot Grigio?;Im not sure if this is a bad bottle or if it was intentionally made effervescent. I dont want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.;2.0;16;13
17;Obsessed;Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :(;5.0;17;14
18;Great Wine;This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.;5.0;18;15
19;Excellent Cab......!!!!!!!;One of the best Cabernets I had in quite sometime......!!!!!!;5.0;19;16
20;Highly Recommended;This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didnt want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. Its a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.;5.0;20;17
21;Michelob Ultra Light Cider;Gluten free plus lower on calories plus very refreshing!;5.0;21;18
22;Please Dont Discontinue This Flavor Combination!;Best of the bunch of all of The wine Cube skus. Target Wine Buyer: please bring back!;5.0;22;19
23;Wine Is Good - The Cube Is Not;I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isnt working.;3.0;23;20
24;Could Not Believe The Taste;I have tried my share of Moscato D Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you wont be disappointed.;5.0;24;21
25;My New Fave!;Highly, highly recommend!! Its sweet but not syrupy- just right! And I love that its bubbly, I dont have to mix my wine with seltzer anymore!;5.0;25;22
26;;My favorite bottle design. The best cheap lager.;5.0;26;23
