id;product_fk;categorie;id
0;0;Food & Beverage;0
1;0;Beverages;1
2;0;Wine;2
3;0; Beer & Liquor;3
4;0;Wine;4
5;1;Food & Beverage;5
6;1;Beverages;6
7;1;Wine;7
8;1; Beer & Liquor;8
9;1;Wine;9
10;2;Food & Beverage;10
11;2;Beverages;11
12;2;Wine;12
13;2; Beer & Liquor;13
14;2;Wine;14
15;3;Food & Beverage;15
16;3;Beverages;16
17;3;Wine;17
18;3; Beer & Liquor;18
19;3;Wine;19
20;4;Food & Beverage;20
21;4;Beverages;21
22;4;Wine;22
23;4; Beer & Liquor;23
24;4;Beer;24
25;5;Food & Beverage;25
26;5;Beverages;26
27;5;Wine;27
28;5; Beer & Liquor;28
29;5;Wine;29
30;6;Food & Beverage;30
31;6;Beverages;31
32;6;Wine;32
33;6; Beer & Liquor;33
34;6;Wine;34
35;7;Food & Beverage;35
36;7;Beverages;36
37;7;Wine;37
38;7; Beer & Liquor;38
39;7;Wine;39
40;8;Food & Beverage;40
41;8;Beverages;41
42;8;Wine;42
43;8; Beer & Liquor;43
44;8;Wine;44
45;9;Food & Beverage;45
46;9;Beverages;46
47;9;Wine;47
48;9; Beer & Liquor;48
49;9;Wine;49
50;10;Food & Beverage;50
51;10;Beverages;51
52;10;Wine;52
53;10; Beer & Liquor;53
54;10;Beer;54
55;11;Food & Beverage;55
56;11;Beverages;56
57;11;Wine;57
58;11; Beer & Liquor;58
59;11;Beer;59
60;12;Food & Beverage;60
61;12;Beverages;61
62;12;Wine;62
63;12; Beer & Liquor;63
64;12;Wine;64
65;13;Food & Beverage;65
66;13;Beverages;66
67;13;Wine;67
68;13; Beer & Liquor;68
69;13;Wine;69
70;14;Food & Beverage;70
71;14;Beverages;71
72;14;Wine;72
73;14; Beer & Liquor;73
74;14;Beer;74
75;15;Food & Beverage;75
76;15;Beverages;76
77;15;Wine;77
78;15; Beer & Liquor;78
79;15;Wine;79
80;16;Food & Beverage;80
81;16;Beverages;81
82;16;Wine;82
83;16; Beer & Liquor;83
84;16;Wine;84
85;17;Food & Beverage;85
86;17;Beverages;86
87;17;Wine;87
